Label,final
cricket,"['kumbl', 'break', 'kapil', 'record', 'first', 'test', 'dhaka', 'day', 'one', 'stump', 'bangladesh', 'india', 'kumbl', 'overtook', 'mark', 'set', 'kapil', 'dev', 'mohammad', 'rafiqu', 'lbw', 'follow', 'wicket', 'next', 'ball', 'befor', 'bangladesh', 'bowl', 'dhaka', 'first', 'session', 'wa', 'lost', 'rain', 'irfan', 'pathan', 'took', 'five', 'wicket', 'reduc', 'host', 'befor', 'mohammad', 'ashra', 'dug', 'ashra', 'end', 'unbeaten', 'hit', 'six', 'four', 'face', 'ball', 'kumbl', 'chanc', 'hattrick', 'remov', 'tapash', 'baisya', 'via', 'catch', 'first', 'slip', 'mashraf', 'mortaza', 'safe', 'defend', 'fifth', 'ball', 'hi', 'th', 'run', 'end', 'inning', 'long', 'afterward', 'india', 'get', 'chanc', 'begin', 'repli', 'open', 'virend', 'sehwag', 'gautam', 'gambhir', 'immedi', 'offer', 'light', 'step', 'wicket', 'india', 'toss', 'pathan', 'soon', 'got', 'stuck', 'top', 'order', 'dismiss', 'jave', 'omar', 'lbw', 'hi', 'second', 'one', 'nip', 'back', 'nafi', 'iqbal', 'rajin', 'saleh', 'also', 'ajudg', 'lbw', 'umpir', 'jeremi', 'lloyd', 'consecut', 'ball', 'pathan', 'fifth', 'captain', 'habibul', 'bashar', 'pull', 'zaheer', 'khan', 'straight', 'squar', 'leg', 'bowler', 'khale', 'mashud', 'caught', 'behind', 'bangladesh', 'ashra', 'larg', 'partnership', 'rafiqu', 'hi', 'best', 'build', 'recoveri', 'india', 'expect', 'amass', 'huge', 'lead', 'saturday', 'kumbl', 'fifth', 'alltim', 'list', 'age', 'may', 'still', 'abl', 'reach', 'mark', 'pass', 'onli', 'three', 'men', 'fellow', 'legspinn', 'shane', 'warn', 'top', 'list', 'wicket', 'habibul', 'bashar', 'capt', 'nafi', 'iqbal', 'jave', 'omar', 'mohammad', 'ashra', 'rajin', 'saleh', 'khale', 'mashud', 'wkt', 'mushfiqur', 'rahman', 'mohammad', 'rafiqu', 'tapash', 'baisya', 'mashraf', 'bin', 'mortaza', 'manjurul', 'islam', 'rana', 'ganguli', 'capt', 'sehwag', 'gambhir', 'tendulkar', 'dravid', 'kaif', 'karthik', 'wkt', 'pathan', 'kumbl', 'harbhajan', 'singh', 'khan']"
cricket,"['aussi', 'tighten', 'grip', 'first', 'test', 'perth', 'day', 'three', 'australia', 'dec', 'pakistan', 'close', 'home', 'side', 'declar', 'second', 'inning', 'lead', 'pakistan', 'close', 'martyn', 'made', 'mistak', 'ricki', 'pont', 'wa', 'stump', 'justin', 'langer', 'bowl', 'abdul', 'razzaq', 'left', 'surviv', 'six', 'befor', 'close', 'pakistan', 'lost', 'imran', 'farhat', 'wa', 'lbw', 'glenn', 'mcgrath', 'one', 'pakistan', 'caus', 'wa', 'help', 'absenc', 'skipper', 'inzamamulhaq', 'paceman', 'shoaib', 'akhtar', 'afternoon', 'inzamam', 'stay', 'dress', 'room', 'suffer', 'stomach', 'upset', 'shoaib', 'hurt', 'hi', 'left', 'shoulder', 'tri', 'make', 'dive', 'save', 'field', 'taken', 'onli', 'wicket', 'fall', 'dure', 'morn', 'bowl', 'matthew', 'hayden', 'inswing', 'australia', 'advanc', 'score', 'langer', 'fifti', 'arriv', 'ball', 'struck', 'four', 'pont', 'share', 'second', 'wicket', 'stand', 'look', 'odd', 'would', 'becom', 'first', 'man', 'ever', 'make', 'hundr', 'inning', 'test', 'waca', 'razzaq', 'found', 'way', 'attempt', 'drive', 'langer', 'made', 'first', 'inning', 'highest', 'run', 'scorer', 'test', 'includ', 'five', 'centuri', 'pont', 'wa', 'tea', 'interv', 'well', 'set', 'reach', 'three', 'figur', 'first', 'time', 'thi', 'year', 'wa', 'deni', 'howev', 'miss', 'attempt', 'sweep', 'danish', 'kaneria', 'keeper', 'kamran', 'akmal', 'whip', 'bail', 'dismiss', 'confirm', 'tv', 'umpir', 'darren', 'lehmann', 'wa', 'bowl', 'kaneria', 'five', 'michael', 'clark', 'join', 'martyn', 'stand', 'fifth', 'wicket', 'befor', 'wa', 'caught', 'reviv', 'inzamam', 'mohammad', 'sami', 'martyn', 'reach', 'three', 'figur', 'next', 'ball', 'knock', 'featur', 'boundari', 'pont', 'immedi', 'made', 'declar', 'pakistan', 'open', 'walk', 'middl', 'intens', 'pressur', 'prove', 'much', 'farhat', 'shoulder', 'arm', 'inswing', 'deliveri', 'mcgrath', 'partner', 'salman', 'butt', 'surviv', 'reach', 'stump', 'eight', 'youni', 'khan', 'drove', 'day', 'penultim', 'deliveri', 'jason', 'gillespi', 'extra', 'cover', 'four', 'finish', 'seven', 'ricki', 'pont', 'justin', 'langer', 'matthew', 'hayden', 'damien', 'martyn', 'darren', 'lehmann', 'michael', 'clark', 'adam', 'gilchrist', 'shane', 'warn', 'jason', 'gillespi', 'michael', 'kasprowicz', 'glenn', 'mcgrath', 'th', 'man', 'brett', 'lee', 'inzamamulhaq', 'imran', 'farhat', 'salman', 'butt', 'youni', 'khan', 'yousuf', 'youhanna', 'abdul', 'razzaq', 'kamran', 'akmal', 'shoaib', 'akhtar', 'danish', 'kaneria', 'mohammad', 'sami', 'mohammad', 'khalil', 'th', 'man', 'yasir', 'hame']"
cricket,"['vaughan', 'readi', 'south', 'africa', 'skipper', 'michael', 'vaughan', 'reliev', 'england', 'tour', 'zimbabw', 'pass', 'without', 'major', 'incid', 'relish', 'prospect', 'south', 'africa', 'vaughan', 'men', 'fli', 'johannesburg', 'monday', 'cruis', 'seri', 'win', 'zimbabwean', 'expect', 'five', 'tough', 'test', 'graem', 'smith', 'side', 'zimbabw', 'tour', 'start', 'veri', 'well', 'came', 'said', 'quit', 'happi', 'leav', 'go', 'onto', 'johannesburg', 'excit', 'leg', 'winter', 'england', 'captain', 'said', 'hope', 'take', 'bat', 'form', 'ha', 'shown', 'zimbabw', 'long', 'tour', 'south', 'africa', 'vaughan', 'wa', 'man', 'seri', 'zimbabw', 'swept', 'run', 'averag', 'excess', 'said', 'realis', 'need', 'improv', 'oneday', 'stat', 'hope', 'take', 'thi', 'form', 'test', 'seri', 'south', 'africa', 'seven', 'oneday', 'game', 'wa', 'convinc', 'seri', 'win', 'boy', 'well', 'difficult', 'situat', 'vaughan', 'said', 'youngster', 'fill', 'notabl', 'absente', 'acquit', 'themselv', 'well', 'said', 'wa', 'tour', 'gave', 'opportun', 'player', 'come', 'done', 'veri', 'good', 'job', 'make', 'selector', 'job', 'littl', 'bit', 'harder', 'becaus', 'produc', 'good', 'pool', 'player', 'england', 'six', 'oneday', 'specialist', 'kevin', 'pietersen', 'darren', 'gough', 'vikram', 'solanki', 'ian', 'bell', 'matt', 'prior', 'alex', 'wharf', 'fli', 'home', 'heathrow', 'monday', 'night', 'remaind', 'parti', 'link', 'member', 'test', 'squad', 'johannesburg', 'prepar', 'first', 'test', 'start', 'port', 'elizabeth', 'decemb', 'meanwhil', 'vaughan', 'admit', 'wa', 'disappoint', 'baffl', 'sadden', 'absenc', 'zimbabw', 'rebel', 'controversi', 'seri', 'see', 'heath', 'streak', 'sit', 'watch', 'stand', 'disappoint', 'zimbabw', 'put', 'best', 'team', 'field', 'vaughan', 'said', 'like', 'play', 'flower', 'brother', 'andi', 'grant', 'heath', 'streak', 'stuart', 'carlisl', 'guy', 'streak', 'said', 'felt', 'zimbabwean', 'cricket', 'would', 'better', 'shape', 'rebel', 'still', 'involv', 'talent', 'player', 'thi', 'team', 'could', 'form', 'strong', 'combin', 'enjoy', 'watch', 'countri', 'lose', 'badli', 'said', 'still', 'lot', 'friend', 'chang', 'room', 'ani', 'issu', 'player', 'issu', 'zimbabw', 'cricket', 'behaviour', 'board', 'member', 'zimbabw', 'captain', 'tatenda', 'taibu', 'admit', 'quit', 'yet', 'need', 'bit', 'experi', 'game', 'play', 'better', 'becom', 'get', 'individu', 'perform', 'day', 'play', 'good', 'cricket', 'get', 'togeth', 'game', 'realli', 'done', 'realli', 'work', 'veri', 'lucki', 'bunch', 'young', 'guy', 'realli', 'want', 'play', 'countri', 'give', 'best']"
cricket,"['world', 'xi', 'triumph', 'tsunami', 'match', 'tsunami', 'appeal', 'match', 'melbourn', 'icc', 'world', 'xi', 'beat', 'asian', 'xi', 'run', 'ricki', 'pont', 'hit', 'massiv', 'total', 'elect', 'bat', 'first', 'front', 'crowd', 'rahul', 'dravid', 'topscor', 'asian', 'xi', 'repli', 'virend', 'sehwag', 'brisk', 'daniel', 'vettori', 'took', 'england', 'darren', 'gough', 'took', 'wicket', 'catch', 'shane', 'warn', 'game', 'broadcast', 'countri', 'estim', 'global', 'televis', 'audienc', 'one', 'billion', 'ha', 'alreadi', 'rais', 'nearli', 'xcxa', 'million', 'relief', 'effort', 'australian', 'prime', 'minist', 'john', 'howard', 'toss', 'coin', 'start', 'match', 'afterward', 'intern', 'cricket', 'council', 'chief', 'execut', 'malcolm', 'speed', 'paid', 'tribut', 'player', 'take', 'part', 'said', 'thi', 'signifi', 'game', 'compass', 'commit', 'provid', 'much', 'help', 'possibl', 'enabl', 'survivor', 'tsunami', 'rebuild', 'live', 'far', 'thi', 'possibl', 'pont', 'entertain', 'fan', 'earli', 'hit', 'big', 'shot', 'anil', 'kumbl', 'abdul', 'razzaq', 'world', 'xi', 'run', 'rate', 'wa', 'soon', 'tick', 'along', 'healthi', 'rate', 'chri', 'cairn', 'brian', 'lara', 'enjoy', 'themselv', 'middl', 'order', 'pack', 'star', 'deliv', 'good', 'wa', 'plenti', 'time', 'unorthodox', 'australia', 'tailend', 'glenn', 'mcgrath', 'bat', 'number', 'six', 'fell', 'golden', 'duck', 'muttiah', 'muralitharan', 'captur', 'hi', 'wicket', 'overal', 'figur', 'wa', 'welcom', 'comeback', 'perform', 'sri', 'lankan', 'injur', 'five', 'month', 'wa', 'almost', 'caught', 'decemb', 'tragedi', 'sehwag', 'gave', 'asian', 'xi', 'good', 'start', 'reach', 'th', 'wicket', 'regularli', 'tumbl', 'onc', 'fell', 'catch', 'deep', 'tri', 'hit', 'warn', 'second', 'ball', 'six', 'vettori', 'got', 'stuck', 'middl', 'order', 'dravid', 'play', 'lone', 'hand', 'onli', 'kumar', 'sangakkara', 'gough', 'sole', 'victim', 'provid', 'ani', 'meaning', 'support', 'world', 'xi', 'boost', 'presenc', 'steve', 'waugh', 'substitut', 'fielder', 'toward', 'end', 'match', 'wa', 'wrap', 'th', 'run', 'murali', 'duck', 'man', 'match', 'pont', 'said', 'whole', 'day', 'ha', 'veri', 'veri', 'special', 'great', 'cricket', 'commun', 'around', 'world', 'play', 'huge', 'part', 'rais', 'money', 'put', 'smile', 'face', 'around', 'world', 'asian', 'xi', 'captain', 'sourav', 'ganguli', 'said', 'hope', 'contribut', 'whatev', 'way', 'help', 'peopl', 'suffer', 'thi', 'disast', 'sourav', 'ganguli', 'indcapt', 'sanath', 'jayasuriya', 'sl', 'virend', 'sehwag', 'ind', 'rahul', 'dravid', 'ind', 'yousuf', 'youhana', 'pak', 'kumar', 'sangakkara', 'sl', 'abdul', 'razzaq', 'pak', 'chaminda', 'vaa', 'sl', 'zaheer', 'khan', 'ind', 'anil', 'kumbl', 'ind', 'muttiah', 'muralitharan', 'sl', 'alok', 'kapali', 'ban', 'th', 'man', 'sachin', 'tendulkar', 'ind', 'th', 'man', 'ricki', 'pont', 'auscapt', 'matthew', 'hayden', 'au', 'adam', 'gilchrist', 'au', 'stephen', 'fleme', 'nz', 'brian', 'lara', 'wi', 'chri', 'gayl', 'wi', 'chri', 'cairn', 'nz', 'shane', 'warn', 'au', 'glenn', 'mcgrath', 'au', 'darren', 'gough', 'eng', 'daniel', 'vettori', 'nz', 'dwayn', 'bravo', 'wi', 'th', 'man', 'rudi', 'koertzen', 'sa', 'billi', 'bowden', 'nz']"
cricket,"['shoaib', 'rule', 'test', 'seri', 'fast', 'bowler', 'shoaib', 'akhtar', 'miss', 'pakistan', 'test', 'seri', 'india', 'becaus', 'still', 'troubl', 'hamstr', 'injuri', 'consid', 'suffer', 'injuri', 'australia', 'last', 'month', 'say', 'hi', 'recoveri', 'take', 'anoth', 'four', 'five', 'week', 'squad', 'india', 'name', 'saturday', 'wa', 'quot', 'say', 'want', 'play', 'half', 'fit', 'news', 'come', 'less', 'hour', 'wa', 'fine', 'xcxa', 'breach', 'term', 'hi', 'contract', 'australia', 'wa', 'accus', 'visit', 'nightclub', 'talk', 'media', 'without', 'permiss', 'deni', 'charg', 'ha', 'lodg', 'appeal', 'decis', 'disciplinari', 'panel', 'howev', 'shoaib', 'insist', 'hi', 'decis', 'pull', 'test', 'seri', 'noth', 'outcom', 'disciplinari', 'hear', 'decis', 'link', 'fine', 'warn', 'said', 'honest', 'decis', 'sinc', 'want', 'go', 'half', 'fit', 'india', 'shoaib', 'absenc', 'huge', 'blow', 'pakistan', 'chanc', 'aveng', 'last', 'year', 'home', 'test', 'seri', 'defeat', 'india', 'still', 'hope', 'avail', 'six', 'oneday', 'intern', 'follow', 'test', 'match', 'inform', 'pakistan', 'cricket', 'board', 'decis', 'inform', 'soon', 'get', 'fit', 'team', 'need', 'stage', 'avail', 'would', 'love', 'play', 'oneday', 'seri', 'provid', 'team', 'need', 'ad', 'yearold', 'known', 'rawalpindi', 'express', 'quickest', 'bowler', 'world', 'cricket', 'ha', 'clock', 'mph', 'hi', 'fit', 'record', 'ha', 'poor', 'ha', 'miss', 'test', 'pakistan', 'play', 'sinc', 'made', 'hi', 'debut', 'novemb', 'shoaib', 'believ', 'injuri', 'inevit', 'part', 'game', 'fast', 'bowler', 'becaus', 'amount', 'intern', 'cricket', 'nowaday', 'critic', 'point', 'fact', 'ha', 'increas', 'hi', 'workload', 'agre', 'contract', 'english', 'counti', 'spell', 'durham', 'due', 'play', 'worcestershir', 'second', 'half', 'season', 'follow', 'tour', 'west', 'indi', 'pakistan', 'meanwhil', 'await', 'fit', 'report', 'fellow', 'seamer', 'mohammad', 'sami', 'mohammad', 'khalil', 'shabbir', 'ahm', 'befor', 'finalis', 'squad', 'india', 'anoth', 'paceman', 'umar', 'gul', 'definit', 'make', 'trip', 'becaus', 'still', 'undergo', 'rehabilit', 'follow', 'stress', 'fractur', 'hi', 'back']"
cricket,"['icc', 'ponder', 'oneday', 'alter', 'rule', 'oneday', 'cricket', 'could', 'chang', 'allow', 'field', 'side', 'take', 'two', 'wicket', 'singl', 'ball', 'strike', 'batsman', 'could', 'dismiss', 'lbw', 'caught', 'hi', 'partner', 'run', 'intern', 'cricket', 'council', 'also', 'consid', 'idea', 'modifi', 'period', 'field', 'restrict', 'normal', 'set', 'inning', 'start', 'instead', 'bat', 'side', 'would', 'choos', 'three', 'differ', 'slot', 'five', 'onli', 'two', 'fielder', 'would', 'permit', 'cover', 'boundari', 'sunil', 'gavaskar', 'head', 'icc', 'committe', 'ha', 'recommend', 'propos', 'bid', 'inject', 'interest', 'oneday', 'game', 'former', 'india', 'captain', 'say', 'ha', 'becom', 'predict', 'look', 'doubl', 'play', 'situat', 'explain', 'interview', 'melbourn', 'age', 'batsman', 'given', 'lbw', 'ball', 'ricochet', 'gulli', 'fielder', 'pick', 'throw', 'nonstrik', 'end', 'two', 'dismiss', 'one', 'ball', 'ball', 'gone', 'air', 'icc', 'discuss', 'propos', 'meet', 'melbourn']"
cricket,"['bangladesh', 'delight', 'test', 'win', 'bangladeshi', 'player', 'fan', 'celebr', 'side', 'histor', 'first', 'test', 'victori', 'zimbabw', 'chittagong', 'thousand', 'fan', 'arm', 'drum', 'flag', 'ran', 'street', 'capit', 'dhaka', 'within', 'minut', 'end', 'game', 'halt', 'traffic', 'best', 'day', 'life', 'forget', 'day', 'wa', 'member', 'bangladesh', 'win', 'team', 'want', 'rememb', 'hard', 'day', 'onli', 'want', 'think', 'victori', 'said', 'captain', 'habibul', 'bashar', 'bangladesh', 'presid', 'iajuddin', 'ahm', 'prime', 'minist', 'khaleda', 'zia', 'opposit', 'leader', 'sheikh', 'hasina', 'congratul', 'team', 'win', 'run', 'chittagong', 'wa', 'bangladesh', 'first', 'test', 'win', 'th', 'attempt', 'sinc', 'grant', 'test', 'statu', 'bangladesh', 'manag', 'three', 'draw', 'previou', 'match', 'two', 'zimbabw', 'one', 'west', 'indi', 'bangladesh', 'coach', 'dav', 'whatmor', 'describ', 'victori', 'wonder', 'feel', 'see', 'joy', 'relief', 'lot', 'peopl', 'whatmor', 'told', 'bbc', 'world', 'servic', 'taken', 'share', 'hammer', 'last', 'year', 'half', 'put', 'thi', 'win', 'perspect', 'probabl', 'track', 'sens', 'bit', 'selfbelief', 'come', 'play', 'tougher', 'opposit', 'whatmor', 'led', 'sri', 'lanka', 'victori', 'world', 'cup', 'said', 'thi', 'could', 'compar', 'continu', 'wa', 'import', 'whole', 'countri', 'sport', 'cricket', 'stand', 'show', 'progress', 'lot', 'frustrat', 'long', 'time', 'bangladesh', 'team', 'push', 'opposit', 'enough', 'former', 'australia', 'test', 'batsman', 'play', 'statu', 'zimbabw', 'whose', 'weaken', 'side', 'return', 'sevenmonth', 'suspens', 'test', 'statu', 'ye', 'oppon', 'rank', 'pretti', 'much', 'near', 'us', 'moment', 'right', 'outset', 'would', 'suggest', 'chanc', 'win', 'ad', 'actual', 'go', 'anoth', 'matter', 'zimbabw', 'captain', 'tatenda', 'taibu', 'made', 'first', 'inning', 'wa', 'dismiss', 'duck', 'second', 'wa', 'disappoint', 'perform', 'wa', 'bad', 'cricket', 'side', 'good', 'cricket', 'bangladeshi', 'said', 'top', 'order', 'batsmen', 'come', 'parti', 'drop', 'four', 'five', 'catch', 'second', 'final', 'test', 'seri', 'zimbabw', 'begin', 'friday', 'dhaka']"
cricket,"['wilson', 'back', 'kiwi', 'cricket', 'squad', 'former', 'black', 'winger', 'jeff', 'wilson', 'back', 'new', 'zealand', 'cricket', 'squad', 'year', 'absenc', 'wilson', 'ha', 'includ', 'kiwi', 'face', 'world', 'xi', 'oneday', 'seri', 'aid', 'tsunami', 'victim', 'hi', 'last', 'outing', 'nation', 'team', 'wa', 'gave', 'cricket', 'concentr', 'hi', 'rugbi', 'union', 'career', 'came', 'end', 'thi', 'chanc', 'look', 'forward', 'get', 'make', 'said', 'wilson', 'wilson', 'set', 'hi', 'sight', 'return', 'new', 'zealand', 'side', 'resum', 'domest', 'first', 'class', 'cricket', 'team', 'coach', 'john', 'bracewel', 'ha', 'said', 'oneday', 'match', 'chanc', 'exal', 'black', 'winger', 'reestablish', 'hi', 'match', 'turn', 'abil', 'undoubt', 'need', 'see', 'step', 'thi', 'level', 'said', 'nz', 'coach', 'bracewel', 'selector', 'watch', 'jeff', 'doubt', 'dynam', 'cricket', 'march', 'wilson', 'play', 'four', 'one', 'day', 'intern', 'match', 'australia', 'score', 'matchwin', 'final', 'game', 'seri', 'befor', 'concentr', 'rugbi', 'union', 'make', 'hi', 'debut', 'black', 'later', 'year', 'wilson', 'take', 'place', 'fast', 'bowler', 'ian', 'butler', 'suffer', 'bulg', 'disc', 'hi', 'back', 'limitedov', 'seri', 'world', 'xi', 'side', 'led', 'australian', 'leg', 'spinner', 'shane', 'warn', 'begin', 'christchurch', 'januari', 'two', 'match', 'take', 'place', 'wellington', 'januari', 'hamilton', 'januari', 'ticket', 'sold', 'first', 'day', 'made', 'avail', 'given', 'veri', 'limit', 'leadtim', 'match', 'obvious', 'need', 'public', 'respond', 'quickli', 'today', 'ha', 'given', 'us', 'good', 'start', 'said', 'new', 'zealand', 'cricket', 'market', 'manag', 'peter', 'dwan', 'stephen', 'fleme', 'captain', 'nathan', 'astl', 'chri', 'cairn', 'hamish', 'marshal', 'brendon', 'mccullum', 'kyle', 'mill', 'jacob', 'oram', 'mathew', 'sinclair', 'scott', 'styri', 'daryl', 'tuffey', 'daniel', 'vettori', 'jeff', 'wilson']"
cricket,"['south', 'africa', 'back', 'content', 'first', 'test', 'port', 'elizabeth', 'day', 'three', 'stump', 'south', 'africa', 'england', 'england', 'resum', 'play', 'bowl', 'lose', 'three', 'wicket', 'run', 'four', 'two', 'separ', 'minicollaps', 'makhaya', 'ntini', 'took', 'three', 'wicket', 'four', 'ball', 'befor', 'return', 'south', 'africa', 'lost', 'ab', 'de', 'villier', 'jacqu', 'rudolph', 'befor', 'close', 'lead', 'run', 'host', 'emerg', 'day', 'play', 'renew', 'zeal', 'listless', 'display', 'field', 'saturday', 'andrew', 'strauss', 'could', 'add', 'onli', 'six', 'hi', 'overnight', 'score', 'befor', 'cut', 'shaun', 'pollock', 'pick', 'de', 'villier', 'point', 'michael', 'vaughan', 'fresh', 'hi', 'runhungri', 'deed', 'zimbabw', 'south', 'africa', 'broadcast', 'hi', 'level', 'confid', 'six', 'third', 'man', 'andrew', 'hall', 'wa', 'prove', 'fals', 'dawn', 'two', 'ball', 'later', 'england', 'captain', 'dalli', 'outsid', 'offstump', 'fuller', 'deliveri', 'wa', 'caught', 'slip', 'graham', 'thorp', 'wa', 'unimpress', 'minut', 'middl', 'score', 'four', 'befor', 'bowl', 'around', 'hi', 'leg', 'sweep', 'graem', 'smith', 'amateur', 'offbreak', 'although', 'three', 'strike', 'morn', 'wa', 'good', 'return', 'host', 'butcher', 'wa', 'keep', 'score', 'tick', 'array', 'pull', 'cut', 'boundari', 'themselv', 'favour', 'continu', 'nobal', 'entir', 'inning', 'south', 'africa', 'conced', 'nation', 'record', 'extra', 'includ', 'nobal', 'debut', 'dale', 'steyn', 'wa', 'chief', 'culprit', 'overstep', 'time', 'butcher', 'andrew', 'flintoff', 'built', 'promis', 'run', 'stand', 'either', 'side', 'lunch', 'former', 'th', 'boundari', 'midway', 'afternoon', 'took', 'recov', 'visitor', 'lead', 'ntini', 'unthreaten', 'thi', 'point', 'turn', 'game', 'head', 'three', 'wicket', 'four', 'ball', 'orchestr', 'onetim', 'familiar', 'middleord', 'collaps', 'butcher', 'demis', 'faint', 'edg', 'impress', 'keeper', 'thami', 'tsolekil', 'wa', 'soft', 'way', 'end', 'rd', 'test', 'fifti', 'look', 'like', 'becom', 'hi', 'ninth', 'ton', 'hi', 'departur', 'wa', 'unthink', 'flintoff', 'wa', 'plain', 'mindless', 'power', 'allround', 'ridden', 'difficult', 'period', 'move', 'threw', 'hi', 'wicket', 'away', 'despatch', 'deliber', 'short', 'ball', 'throat', 'rudolph', 'deep', 'squar', 'geraint', 'jone', 'misread', 'sluggish', 'pitch', 'caught', 'short', 'extra', 'cover', 'next', 'ball', 'though', 'matthew', 'hoggard', 'kept', 'hattrick', 'ball', 'soon', 'fell', 'hall', 'duck', 'reduc', 'hi', 'team', 'ashley', 'gile', 'emphas', 'hi', 'worth', 'order', 'brisk', 'put', 'simon', 'jone', 'befor', 'edg', 'pollock', 'slip', 'anoth', 'run', 'ad', 'final', 'wicket', 'dure', 'time', 'steve', 'harmison', 'wa', 'drop', 'twice', 'caught', 'steyn', 'nobal', 'steyn', 'kept', 'hi', 'foot', 'behind', 'pop', 'creas', 'eventu', 'get', 'rid', 'jone', 'end', 'england', 'first', 'inning', 'hoggard', 'industri', 'ball', 'first', 'inning', 'serv', 'hi', 'team', 'well', 'snatch', 'wonder', 'lowdown', 'catch', 'hi', 'bowl', 'remov', 'de', 'villier', 'sizeabl', 'firstin', 'deficit', 'still', 'hung', 'host', 'hoggard', 'seemingli', 'strain', 'hi', 'side', 'harmison', 'six', 'way', 'colour', 'england', 'fulli', 'cash', 'took', 'introduct', 'gile', 'oust', 'rudolph', 'caught', 'slip', 'nice', 'craft', 'smith', 'jacqu', 'kalli', 'comfort', 'saw', 'south', 'africa', 'red', 'safeti', 'stump', 'day', 'belong', 'home', 'side', 'need', 'repeat', 'dose', 'monday', 'ensur', 'beaten', 'seri', 'open', 'smith', 'captain', 'ab', 'de', 'villier', 'rudolph', 'kalli', 'dippenaar', 'de', 'bruyn', 'hall', 'pollock', 'tsolekil', 'wk', 'ntini', 'steyn', 'vaughan', 'captain', 'trescothick', 'strauss', 'butcher', 'thorp', 'flintoff', 'jone', 'wk', 'gile', 'jone', 'hoggard', 'harmison']"
cricket,"['kumbl', 'overtak', 'kapil', 'record', 'first', 'test', 'dhaka', 'day', 'one', 'stump', 'bangladesh', 'india', 'kumbl', 'overtook', 'mark', 'set', 'kapil', 'dev', 'mohammad', 'rafiqu', 'lbw', 'follow', 'wicket', 'next', 'ball', 'befor', 'bangladesh', 'bowl', 'dhaka', 'first', 'session', 'wa', 'lost', 'rain', 'irfan', 'pathan', 'took', 'five', 'wicket', 'reduc', 'host', 'befor', 'mohammad', 'ashra', 'dug', 'ashra', 'end', 'unbeaten', 'hit', 'six', 'four', 'face', 'ball', 'kumbl', 'chanc', 'hattrick', 'remov', 'tapash', 'baisya', 'via', 'catch', 'first', 'slip', 'mashraf', 'mortaza', 'safe', 'defend', 'fifth', 'ball', 'hi', 'th', 'run', 'end', 'inning', 'long', 'afterward', 'india', 'get', 'chanc', 'begin', 'repli', 'open', 'virend', 'sehwag', 'gautam', 'gambhir', 'immedi', 'offer', 'light', 'step', 'wicket', 'india', 'toss', 'pathan', 'soon', 'got', 'stuck', 'top', 'order', 'dismiss', 'jave', 'omar', 'lbw', 'hi', 'second', 'one', 'nip', 'back', 'nafi', 'iqbal', 'rajin', 'saleh', 'also', 'ajudg', 'lbw', 'umpir', 'jeremi', 'lloyd', 'consecut', 'ball', 'pathan', 'fifth', 'captain', 'habibul', 'bashar', 'pull', 'zaheer', 'khan', 'straight', 'squar', 'leg', 'bowler', 'khale', 'mashud', 'caught', 'behind', 'bangladesh', 'ashra', 'larg', 'partnership', 'rafiqu', 'hi', 'best', 'build', 'recoveri', 'india', 'expect', 'amass', 'huge', 'lead', 'saturday', 'kumbl', 'fifth', 'alltim', 'list', 'age', 'may', 'still', 'abl', 'reach', 'mark', 'pass', 'onli', 'three', 'men', 'fellow', 'legspinn', 'shane', 'warn', 'top', 'list', 'wicket', 'habibul', 'bashar', 'capt', 'nafi', 'iqbal', 'jave', 'omar', 'mohammad', 'ashra', 'rajin', 'saleh', 'khale', 'mashud', 'wkt', 'mushfiqur', 'rahman', 'mohammad', 'rafiqu', 'tapash', 'baisya', 'mashraf', 'bin', 'mortaza', 'manjurul', 'islam', 'rana', 'ganguli', 'capt', 'sehwag', 'gambhir', 'tendulkar', 'dravid', 'kaif', 'karthik', 'wkt', 'pathan', 'kumbl', 'harbhajan', 'singh', 'khan']"
